Species_name,Order_APG4,Clade,Growth_form,Habitat,max_ Diameter,min_Diameter,Thickness,TD,O,Pcri1_low,Pcri1_up,Pcri2_low,Pcri2_up,vein_order,Kmax,LMA,TotV,e,MAP
Abelia mexicana,Dipsacales,asterids,shrub,mesic,9.953,7.238,3.013,0.302722797,0.157931476,0.752545781,2.257637344,3.665643676,29.32514941,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,8.205,7.518,4.052,0.493845216,0.043693952,3.267157692,9.801473075,9.755323908,78.04259126,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,8.104,5.883,2.777,0.342670286,0.158790305,1.091507904,3.274523711,4.696917004,37.57533603,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,7.607,6.376,3.474,0.456684633,0.088035472,2.58372767,7.751183009,8.342434145,66.73947316,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,7.453,5.311,2.918,0.391520193,0.167815732,1.628021146,4.884063438,6.131522468,49.05217974,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,7.415,4.788,2.527,0.340795684,0.215274932,1.07369221,3.221076631,4.645667941,37.16534353,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,7.246,6.058,3.022,0.417057687,0.089296452,1.967822552,5.903467657,6.957484571,55.65987657,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,7.103,2.103,1.675,0.235815852,0.54312405,0.355726757,1.06718027,2.224364651,17.79491721,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,7.051,5.096,2.41,0.34179549,0.160945089,1.083169759,3.249509276,4.672966279,37.38373024,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,6.712,4.224,1.96,0.292014303,0.227505487,0.675475985,2.026427955,3.41089412,27.28715296,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,6.557,5.254,2.428,0.370291292,0.110320887,1.377298387,4.13189516,5.48462563,43.87700504,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,6.378,4.752,2.848,0.446534964,0.146091644,2.415260355,7.245781065,7.975738961,63.80591169,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,6.29,4.398,2.85,0.453100159,0.177020958,2.523365647,7.570096941,8.211990163,65.6959213,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,6.25,3.626,2.51,0.4016,0.265694613,1.757027889,5.271083667,6.4513024,51.6104192,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,6.188,4.554,3.434,0.554945055,0.152113201,4.636043475,13.90813043,12.31856056,98.54848448,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.781,4.509,1.761,0.304618578,0.12361516,0.766772807,2.30031842,3.711699125,29.693593,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.531,4.692,1.604,0.290001808,0.082069843,0.661606341,1.984819023,3.364041946,26.91233556,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.507,3.954,2.292,0.416197567,0.164147553,1.955672609,5.867017826,6.928816582,55.43053266,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.419,3.328,1.59,0.293412069,0.23905339,0.685222259,2.055666778,3.443625681,27.54900545,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.368,3.69,1.746,0.325260805,0.185250607,0.933453609,2.800360827,4.231783645,33.85426916,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.218,4.362,1.768,0.338827137,0.089352818,1.055193483,3.165580449,4.592153146,36.73722517,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,5.031,3.11,2.62,0.520771218,0.235966098,3.831232116,11.49369635,10.84810648,86.78485183,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.834,4.155,1.271,0.262929251,0.075536767,0.493076445,1.479229335,2.765271644,22.12217315,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.834,3.676,2.116,0.437732727,0.136075206,2.275226275,6.825678825,7.664397595,61.31518076,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.615,3.403,2.001,0.433586132,0.15115989,2.211177937,6.633533812,7.519877361,60.15901889,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.611,2.637,1.986,0.430709174,0.272350993,2.167454096,6.502362288,7.420415693,59.36332554,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.461,3.998,1.712,0.383770455,0.054734602,1.533247107,4.599741321,5.891190487,47.1295239,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.443,2.412,2.197,0.494485708,0.296280088,3.279886186,9.839658557,9.780644611,78.24515689,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.384,1.985,1.709,0.389826642,0.376668237,1.606986004,4.820958012,6.078592443,48.62873954,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,4.065,2.022,1.655,0.407134071,0.335633317,1.830669252,5.492007756,6.630326082,53.04260865,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,3.923,2.718,1.75,0.446087178,0.181448577,2.408001562,7.224004685,7.959750821,63.67800657,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,3.481,1.991,2.175,0.624820454,0.272295322,6.617032331,19.85109699,15.61602398,124.9281919,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,3.367,2.897,1.847,0.548559549,0.075031928,4.477843178,13.43352953,12.03670313,96.29362506,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,3.361,2.686,1.699,0.505504314,0.1116256,3.504064904,10.51219471,10.22138447,81.77107573,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,3.137,1.374,2.746,0.875358623,0.390822434,18.19514769,54.58544308,30.65010875,245.20087,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,3.118,NA,2.59,0.83066068,NA,15.54778414,46.64335241,27.59988661,220.7990929,major,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,2.837,1.398,2.424,0.854423687,0.339787485,16.92066322,50.76198967,29.20159348,233.6127478,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,2.818,1.641,1.578,0.559971611,0.263960529,4.763164417,14.28949325,12.54272821,100.3418257,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Abelia mexicana,Dipsacales,asterids,shrub,mesic,2.427,1.211,1.85,0.762257932,0.334249588,12.01443629,36.04330887,23.24148617,185.9318894,minor,4.998084,42.33574788,4.179478168,3.23,1334.888889
Ackama paniculosa,Oxalidales,rosids,tree,mesic,21.342,11.436,3.489,0.163480461,0.3022149,0.118520945,0.355562834,1.069034446,8.552275568,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,19.041,12.954,3.198,0.167953364,0.190248476,0.128517912,0.385553737,1.128333296,9.026666371,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,18.774,9.584,2.696,0.143602855,0.324070809,0.080331664,0.240994993,0.824871199,6.59896959,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,17.529,11.704,3.704,0.211306977,0.199261109,0.255940523,0.76782157,1.786025541,14.28820433,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,15.127,8.675,3.424,0.226350235,0.271069658,0.314586723,0.94376017,2.04937715,16.3950172,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,14.126,10.908,3.262,0.230921705,0.128545179,0.334034871,1.002104614,2.132993347,17.06394678,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,13.701,10.382,3.879,0.283118021,0.137815056,0.615602086,1.846806256,3.206232543,25.64986035,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,13.582,11.906,5.305,0.390590487,0.065756434,1.616450943,4.849352829,6.102437154,48.81949723,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,13.382,11.069,3.39,0.253325362,0.094597358,0.440994894,1.32298468,2.56694957,20.53559656,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,13.324,10.58,3.955,0.296832783,0.114792503,0.709468527,2.12840558,3.524388041,28.19510433,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,13.168,8.744,3.263,0.247797691,0.201898503,0.412752118,1.238256354,2.456147834,19.64918267,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,13.054,8.74,2.545,0.194959399,0.197944388,0.201015746,0.603047237,1.520366697,12.16293357,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
Ackama paniculosa,Oxalidales,rosids,tree,mesic,12.392,10.787,2.992,0.241446094,0.069243712,0.381819492,1.145458477,2.331848657,18.65478926,major,2.727137,159.9002223,44.58914948,1.63,1475.883123
