group,n,r2,pval,Slope,Slope_lowCI,Slope_highCI,Int,Int_lowCI,Int_highCI,Slope_test,Slope_test_p,Elev_test,Elev_test_p
Abe_mex,39,0.22687668334804312,0.00217495402125025,0.802222115548098,0.5928364778954044,1.0855612747702932,-0.2330718774709099,-0.4132096847904129,-0.05293407015140689,1,0.15116159906622306,NA,NA
Aex_pun,64,0.06821175893352056,0.037111053986261314,0.4004914168988677,0.3089121203133453,0.519220077370119,0.042601108724623915,-0.050360496536514504,0.13556271398576233,1,4.278888354747323e-11,NA,NA
Ale_cor,70,0.6702498252430352,4.8557876001665255e-18,0.49637719550969117,0.4287833087576421,0.5746266591765388,-0.06169059464788035,-0.13341073872205556,0.010029549426294845,1,1.5543122344752192e-15,NA,NA
Als_lig,47,0.5680330085572449,9.696111574643452e-10,0.5652964224664652,0.45493776921232654,0.7024258412456422,-0.28590528933533815,-0.4188456561783721,-0.1529649224923042,1,1.5086788542895135e-6,NA,NA
Ane_cal,61,0.5695151108614627,2.155013624713021e-12,0.5482294706634835,0.45952787526478783,0.6540529284121842,-0.11850724141071534,-0.21890422162215434,-0.018110261199276348,1,1.2652582315197947e-9,NA,NA
Arg_spi,63,0.05636817328662991,0.06098392502914764,0.5491285685187512,0.40812861012977897,0.7388410841072054,0.10700641594333427,-0.014607434987938803,0.22862026687460735,1,8.161172925724713e-5,NA,NA
Ari_bae,52,0.4400579162805612,8.356812150332563e-8,0.8684819596991756,0.7006086744348259,1.0765794684620131,-0.3361035310650897,-0.4844971094453224,-0.18770995268485702,1,0.19523795222894502,NA,NA
Asi_tri,62,0.48859794462164113,2.644834203192753e-10,0.3771787915110632,0.32377430434815974,0.4393920050331339,-0.041105700893663555,-0.09936178529841902,0.017150383511091903,1,0,NA,NA
Asp_obl,70,0.46224670054526557,9.650036692619424e-11,0.5969274982858077,0.4973299071474756,0.7164709644217938,-0.1490215334114527,-0.25684167348795617,-0.04120139333494918,1,1.4836630601866574e-7,NA,NA
Ast_ban,51,0.5524432542734323,4.1937908654345146e-10,0.42826937803502246,0.3559229752376854,0.515321215327616,-0.14469450430827363,-0.24003259319490533,-0.049356415421641944,1,7.605027718682322e-14,NA,NA
Auc_jap,64,0.232935300644738,5.371444516578177e-5,0.36467121702875627,0.29405704067290395,0.4522425180669657,0.12603355722625814,0.0530139793599171,0.1990531350925992,1,4.440892098500626e-16,NA,NA
Bar_pur,70,0.2394787284181047,1.715316590435956e-5,0.46614235170260093,0.3751220302138494,0.5792480167772589,-0.1711365637615721,-0.2657203657433501,-0.07655276177979412,1,9.405776157933587e-11,NA,NA
Beg_for,30,0.5224608928688539,6.4443500070701285e-6,0.8087291844939992,0.6245352990961387,1.0472472809765843,-0.48087579243656153,-0.6856616724369324,-0.27608991243619063,1,0.10477959421408478,NA,NA
Bei_tar,62,0.3630104104289555,2.2055571972288817e-7,0.37844362871577647,0.3116073879389122,0.45961548300530464,-0.030999818229072995,-0.10284216422630736,0.04084252776816137,1,0,NA,NA
Bux_har,65,0.07795371315655383,0.02430230698566602,0.4413564250378792,0.3470074441775458,0.5613582566907419,0.14305829308009055,0.06642232860501679,0.2196942575551643,1,2.6033974975803176e-10,NA,NA
Cal_nut,50,0.11537243649787933,0.015809809353585752,0.36010205913588395,0.2645666949877765,0.4901353626536205,-0.09821484832571753,-0.21645034617421377,0.020020649522778725,1,5.125072588541002e-10,NA,NA
Cal_pan,60,0.6170531554089502,1.0710848225383578e-13,0.5954817544729126,0.5049427245992364,0.7022549343424571,-0.1210285251512982,-0.20805140786872994,-0.03400564243386646,1,1.6792295221002007e-8,NA,NA
Cam_sin,59,0.03633912461386601,0.1481173123979915,0.416509513601288,0.3177219372303895,0.5460125807887982,-0.004639190787956937,-0.08655715895853998,0.0772787773826261,1,1.2196070819925353e-9,NA,NA
Can_can,44,0.5179562267528217,3.686683356239116e-8,0.7363309968976254,0.6087941561683519,0.8905856462300188,-0.37397946693321116,-0.5128442837517929,-0.2351146501146294,1,0.0020995681407760536,NA,NA
