spp_code,Species_WP,Species2,Genus_WP,Family_WP,order_apg4,clade,clade2,clade3
Abe_mex,Abelia mexicana,Abelia mexicana,Abelia,Caprifoliaceae,Dipsacales,asterids,asterids,angiosperm
Aex_pun,Aextoxicon punctatum,Aextoxicon punctatum,Aextoxicon,Aextoxicaceae,Berberidopsidales,rosids,rosids,angiosperm
Ale_cor,Alectryon coriaceus,Alectryon coriaceus,Alectryon,Sapindaceae,Sapindales,rosids,rosids,angiosperm
Als_lig,Alstroemeria ligtu,Alstroemeria ligtu,Alstroemeria,Alstroemeriaceae,Liliales,monocots,monocots,angiosperm
Ane_cal,Anemopsis californica,Anemopsis californica,Anemopsis,Saururaceae,Piperales,basal angiosperms,magnoliids,angiosperm
Arg_spi,Argania spinosa,Argania spinosa,Argania,Sapotaceae,Ericales,asterids,asterids,angiosperm
Ari_bae,Aristolochia baetica,Aristolochia baetica,Aristolochia,Aristolochiaceae,Piperales,basal angiosperms,magnoliids,angiosperm
Asi_tri,Asimina triloba,Asimina triloba,Asimina,Annonaceae,Magnoliales,basal angiosperms,magnoliids,angiosperm
Asp_obl,Asplenium oblongifolium,Asplenium oblongifolium,Asplenium,Aspleniaceae,Polypodiales,ferns,ferns,fern
Ast_ban,Astelia banksii,Astelia banksii,Astelia,Asteliaceae,Asparagales,monocots,monocots,angiosperm
Auc_jap,Aucuba japonica,Aucuba japonica,Aucuba,Garryaceae,Garryales,asterids,asterids,angiosperm
Bar_pur,Barbacenia purpurea,Barbacenia purpurea,Barbacenia,Velloziaceae,Pandanales,monocots,monocots,angiosperm
Beg_for,Begonia formosa,Begonia formosa,Begonia,Begoniaceae,Cucurbitales,rosids,rosids,angiosperm
Bei_tar,Beilschmiedia tarairi,Beilschmiedia tarairi,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,magnoliids,angiosperm
Bux_har,Buxus harlandii,Buxus harlandii,Buxus,Buxaceae,Buxales,basal eudicots,basal eudicots,angiosperm
Cal_nut,Deyeuxia nutkaensis,Calamagrostis nutkaensis ,Deyeuxia,Poaceae,Poales,monocots,monocots,angiosperm
Cal_pan,Ackama paniculosa,Ackama paniculosa,Ackama,Cunoniaceae,Oxalidales,rosids,rosids,angiosperm
Cam_sin,Camellia sinensis,Camellia sinensis,Camellia,Theaceae,Ericales,asterids,asterids,angiosperm
Can_can,Canarina canariensis,Canarina canariensis,Canarina,Campanulaceae,Asterales,asterids,asterids,angiosperm
Car_pal,Carya palmeri,Carya palmeri,Carya,Juglandaceae,Fagales,rosids,rosids,angiosperm
Car_pen,Carex agastachys,Carex agastachys,Carex,Cyperaceae,Poales,monocots,monocots,angiosperm
Cat_edu,Catha edulis,Catha edulis,Catha,Celastraceae,Celastrales,rosids,rosids,angiosperm
Cel_aus,Celtis australis,Celtis australis,Celtis,Cannabaceae,Rosales,rosids,rosids,angiosperm
Cel_ten,Celtis tenuifolia,Celtis tenuifolia,Celtis,Cannabaceae,Rosales,rosids,rosids,angiosperm
Chi_nit,Chimonanthus nitens,Chimonanthus nitens,Chimonanthus,Calycanthaceae,Laurales,basal angiosperms,magnoliids,angiosperm
Chl_spi,Chloranthus spicatus,Chloranthus spicatus,Chloranthus,Chloranthaceae,Chloranthales,basal angiosperms,anita,angiosperm
Cis_ant,Cissus antarctica,Cissus antarctica,Cissus,Vitaceae,Vitales,rosids,rosids,angiosperm
Cis_pop,Cistus populifolius,Cistus populifolius,Cistus,Cistaceae,Malvales,rosids,rosids,angiosperm
Cit_mon,Citharexylum montevidense,Citharexylum montevidense,Citharexylum,Verbenaceae,Lamiales,asterids,asterids,angiosperm
Clu_ala,Clusia alata,Clusia alata,Clusia,Clusiaceae,Malpighiales,rosids,rosids,angiosperm
Cne_tri,Cneorum tricoccon,Cneorum tricoccon,Cneorum,Rutaceae,Sapindales,rosids,rosids,angiosperm
Com_ery,Combretum erythrophyllum,Combretum erythrophyllum,Combretum,Combretaceae,Myrtales,rosids,rosids,angiosperm
Com_umb,Comandra umbellata,Comandra umbellata,Comandra,Comandraceae,Santalales,rosids,rosids,angiosperm
Cor_bud,Corokia buddleioides,Corokia buddleioides,Corokia,Argophyllaceae,Asterales,asterids,asterids,angiosperm
Cor_lae,Corynocarpus laevigata,Corynocarpus laevigatus,Corynocarpus,Corynocarpaceae,Cucurbitales,rosids,rosids,angiosperm
Cos_tap,Costus tappenbeckianus,Costus tappenbeckianus,Costus,Costaceae,Zingiberales,monocots,monocots,angiosperm
Cri_pat,Crinodendron patagua,Crinodendron patagua,Crinodendron,Elaeocarpaceae,Oxalidales,rosids,rosids,angiosperm
Cup_nud,Cuphea nudicostata,Cuphea nudicostata,Cuphea,Lythraceae,Myrtales,rosids,rosids,angiosperm
